"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C7,C8,C11,C12,C13,C14","0.1u","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","8",""
"C3","10u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C4,C6,C9,C10","22p","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4",""
"C5","100u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","1N4148","~","Diode_THT:D_A-405_P10.16mm_Horizontal","1",""
"D2","POWER LED","~","LED_THT:LED_D3.0mm","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","4",""
"J1","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J2","SBC6303 BUS","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","1",""
"J3","SERIAL JP","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","1",""
"R1","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RN1,RN2","10k","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP5","2",""
"SW1","POWER","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"SW2","RESET","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1,U2","74LS00","http://www.ti.com/lit/gpn/sn74ls00","Package_DIP:DIP-14_W7.62mm_Socket","2",""
"U3","MC6802","https://www.jameco.com/Jameco/Products/ProdDS/43502.pdf","Package_DIP:DIP-40_W15.24mm_Socket","1",""
"U4","74LS138","http://www.ti.com/lit/gpn/sn74LS138","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U5","HM628128D_DIP32_SOP32","http://www.futurlec.com/Datasheet/Memory/628128.pdf","Package_DIP:DIP-32_W15.24mm_Socket","1",""
"U6","74HC4060","https://www.st.com/resource/en/datasheet/m74hc4060.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U7","27C256","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0014.pdf","Package_DIP:DIP-28_W15.24mm_Socket","1",""
"U8","MC6850","http://pdf.datasheetcatalog.com/datasheet/motorola/MC6850.pdf","Package_DIP:DIP-24_W15.24mm_Socket","1",""
"Y1","4MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
"Y2","19.6608MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
